Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;
16201;;2023-03-28;1;;;;;
Intervallnummer;nach;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;2;11;0;0;0;0;0;
26;2;12;1;0;0;0;0;
27;2;14;0;0;0;1;0;
28;2;14;2;0;0;0;0;
29;2;15;2;0;0;0;0;
30;2;12;1;0;0;2;0;
31;2;17;0;0;0;0;0;
32;2;39;0;0;0;0;0;
33;2;24;2;0;0;0;1;
34;2;12;0;0;0;0;0;
35;2;14;0;0;0;0;0;
36;2;23;1;0;0;0;0;
37;2;19;1;0;0;1;0;
38;2;18;1;0;0;0;0;
39;2;18;1;0;0;0;0;
40;2;29;0;0;1;0;0;
61;2;20;0;0;0;0;0;
62;2;18;0;0;0;0;0;
63;2;18;0;0;0;0;0;
64;2;16;0;0;0;0;1;
65;2;12;0;0;0;1;0;
66;2;15;2;0;0;0;1;
67;2;19;1;0;0;0;0;
68;2;18;0;0;0;0;0;
69;2;15;0;0;0;0;1;
70;2;20;0;0;0;1;1;
71;2;22;0;0;0;0;0;
72;2;15;0;0;0;0;0;
73;2;26;0;0;0;1;0;
74;2;17;0;0;0;0;0;
75;2;10;0;0;0;0;0;
76;2;9;0;0;0;0;0;
25;3;79;3;0;0;0;1;
26;3;104;6;0;0;1;0;
27;3;109;4;1;0;0;2;
28;3;126;6;0;0;1;0;
29;3;123;7;0;0;1;0;
30;3;174;4;0;0;0;2;
31;3;167;2;0;0;2;0;
32;3;207;7;0;0;1;0;
33;3;161;3;0;0;2;0;
34;3;135;3;1;0;1;0;
35;3;171;4;0;0;3;1;
36;3;144;2;0;0;1;1;
37;3;148;1;0;0;1;0;
38;3;154;7;0;0;0;0;
39;3;153;2;0;1;0;0;
40;3;165;1;1;0;1;0;
61;3;151;2;0;0;0;0;
62;3;122;1;0;0;2;0;
63;3;152;0;0;0;0;0;
64;3;132;1;0;0;0;1;
65;3;146;0;0;0;0;0;
66;3;128;1;0;0;1;0;
67;3;163;1;0;0;1;1;
68;3;167;1;0;0;2;0;
69;3;169;0;0;0;1;0;
70;3;190;1;0;0;1;0;
71;3;153;1;0;0;0;0;
72;3;164;1;0;0;0;1;
73;3;146;0;0;0;1;0;
74;3;137;0;0;1;0;3;
75;3;166;0;0;0;2;1;
76;3;119;0;0;0;0;0;
25;4;28;1;0;0;0;1;
26;4;45;1;0;0;0;1;
27;4;55;3;0;0;0;0;
28;4;79;5;0;0;0;0;
29;4;82;1;0;0;0;1;
30;4;105;3;1;0;1;0;
31;4;97;2;1;0;4;0;
32;4;93;1;0;0;1;0;
33;4;119;0;0;0;0;0;
34;4;134;2;0;0;0;0;
35;4;131;4;1;0;3;0;
36;4;131;2;0;1;2;1;
37;4;127;2;0;0;1;1;
38;4;83;5;0;2;1;4;
39;4;122;5;0;1;1;0;
40;4;108;2;0;1;0;0;
61;4;72;1;0;0;0;0;
62;4;83;0;0;0;0;1;
63;4;86;1;0;1;1;1;
64;4;77;1;1;0;1;0;
65;4;84;1;0;0;1;1;
66;4;79;0;0;0;1;2;
67;4;85;1;0;0;1;0;
68;4;74;3;1;0;1;0;
69;4;98;0;0;0;1;4;
70;4;75;1;1;0;0;2;
71;4;95;0;0;0;0;2;
72;4;130;0;0;0;3;2;
73;4;101;0;0;0;1;0;
74;4;111;0;0;0;2;5;
75;4;68;0;0;0;0;5;
76;4;95;1;0;0;0;5;
