Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
39001;FJS;2026-06-08;7;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;;SO;EIN;;;;;;1;1
2;;SO;EIN;;;;;;2;2
3;;SO;EIN;;;;;;3;3
4;;SO;EIN;;;;;;4;4
5;;SO;EIN;;;;;;5;5
6;;SO;EIN;;;;;;6;6
7;;SO;EIN;;;;;;7;7
8;;SO;EIN;;;;;;8;8
9;;SO;EIN;;;;;;9;9
10;;SO;EIN;;;;;;10;10
11;;SO;EIN;;;;;;11;11
12;;SO;EIN;;;;;;12;12
13;;SO;EIN;;;;;;13;13
14;;SO;EIN;;;;;;14;14
15;;SO;EIN;;;;;;15;15
16;;SO;EIN;;;;;;16;16
17;;SO;EIN;;;;;;17;17
18;;SO;EIN;;;;;;18;18
19;;SO;EIN;;;;;;19;19
20;;SO;EIN;;;;;;20;20
21;;SO;EIN;;;;;;21;21
22;;SO;EIN;;;;;;22;22
23;;SO;EIN;;;;;;23;23
24;;SO;EIN;;;;;;24;24
25;;SO;EIN;;;;;;25;25
26;;SO;EIN;;;;;;26;26
27;;SO;EIN;;;;;;27;27
28;;SO;EIN;;;;;;28;28
29;;SO;EIN;;;;;;29;29
30;;SO;EIN;;;;;;30;30
31;;SO;EIN;;;;;;31;31
32;;SO;EIN;;;;;;32;32
33;;SO;EIN;;;;;;33;33
34;;SO;EIN;;;;;;34;34
35;;SO;EIN;;;;;;35;35
36;;SO;EIN;;;;;;36;36
37;;SO;EIN;;;;;;37;37
38;;SO;EIN;;;;;;38;38
39;;SO;EIN;;;;;;39;39
40;;SO;EIN;;;;;;40;40
41;;SO;EIN;;;;;;41;41
42;;SO;EIN;;;;;;42;42
43;;SO;EIN;;;;;;43;43
44;;SO;EIN;;;;;;44;44
45;;SO;EIN;;;;;;45;45
46;;SO;EIN;;;;;;46;46
47;;SO;EIN;;;;;;47;47
48;;SO;EIN;;;;;;48;48
49;;SO;EIN;;;;;;49;49
50;;SO;EIN;;;;;;50;50
51;;SO;EIN;;;;;;51;51
52;;SO;EIN;;;;;;52;52
53;;SO;EIN;;;;;;53;53
54;;SO;EIN;;;;;;54;54
55;;SO;EIN;;;;;;55;55
56;;SO;EIN;;;;;;56;56
57;;SO;EIN;;;;;;57;57
58;;SO;EIN;;;;;;58;58
59;;SO;EIN;;;;;;59;59
60;;SO;EIN;;;;;;60;60
61;;SO;EIN;;;;;;61;61
62;;SO;EIN;;;;;;62;62
63;;SO;EIN;;;;;;63;63
64;;SO;EIN;;;;;;64;64
65;;SO;EIN;;;;;;65;65
66;;SO;EIN;;;;;;66;66
67;;SO;EIN;;;;;;67;67
68;;SO;EIN;;;;;;68;68
69;;SO;EIN;;;;;;69;69
70;;SO;EIN;;;;;;70;70
71;;SO;EIN;;;;;;71;71
72;;SO;EIN;;;;;;72;72
73;;SO;EIN;;;;;;73;73
74;;SO;EIN;;;;;;74;74
75;;SO;EIN;;;;;;75;75
76;;SO;EIN;;;;;;76;76
77;;SO;EIN;;;;;;77;77
78;;SO;EIN;;;;;;78;78
79;;SO;EIN;;;;;;79;79
80;;SO;EIN;;;;;;80;80
81;;SO;EIN;;;;;;81;81
82;;SO;EIN;;;;;;82;82
83;;SO;EIN;;;;;;83;83
84;;SO;EIN;;;;;;84;84
85;;SO;EIN;;;;;;85;85
86;;SO;EIN;;;;;;86;86
87;;SO;EIN;;;;;;87;87
88;;SO;EIN;;;;;;88;88
89;;SO;EIN;;;;;;89;89
90;;SO;EIN;;;;;;90;90
91;;SO;EIN;;;;;;91;91
92;;SO;EIN;;;;;;92;92
93;;SO;EIN;;;;;;93;93
94;;SO;EIN;;;;;;94;94
95;;SO;EIN;;;;;;95;95
96;;SO;EIN;;;;;;96;96
1;;NW;EIN;;;;;;1;1
2;;NW;EIN;;;;;;2;2
3;;NW;EIN;;;;;;3;3
4;;NW;EIN;;;;;;4;4
5;;NW;EIN;;;;;;5;5
6;;NW;EIN;;;;;;6;6
7;;NW;EIN;;;;;;7;7
8;;NW;EIN;;;;;;8;8
9;;NW;EIN;;;;;;9;9
10;;NW;EIN;;;;;;10;10
11;;NW;EIN;;;;;;11;11
12;;NW;EIN;;;;;;12;12
