Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;FJS;2026-03-16;1;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;;O;EIN;;;;;;25;25
26;;O;EIN;;;;;;26;26
27;;O;EIN;;;;;;27;27
28;;O;EIN;;;;;;28;28
29;;O;EIN;;;;;;29;29
30;;O;EIN;;;;;;30;30
31;;O;EIN;;;;;;31;31
32;;O;EIN;;;;;;32;32
33;;O;EIN;;;;;;33;33
34;;O;EIN;;;;;;34;34
35;;O;EIN;;;;;;35;35
36;;O;EIN;;;;;;36;36
37;;O;EIN;;;;;;37;37
38;;O;EIN;;;;;;38;38
39;;O;EIN;;;;;;39;39
40;;O;EIN;;;;;;40;40
41;;O;EIN;;;;;;41;41
42;;O;EIN;;;;;;42;42
43;;O;EIN;;;;;;43;43
44;;O;EIN;;;;;;44;44
45;;O;EIN;;;;;;45;45
46;;O;EIN;;;;;;46;46
47;;O;EIN;;;;;;47;47
48;;O;EIN;;;;;;48;48
49;;O;EIN;;;;;;49;49
50;;O;EIN;;;;;;50;50
51;;O;EIN;;;;;;51;51
52;;O;EIN;;;;;;52;52
53;;O;EIN;;;;;;53;53
54;;O;EIN;;;;;;54;54
55;;O;EIN;;;;;;55;55
56;;O;EIN;;;;;;56;56
57;;O;EIN;;;;;;57;57
58;;O;EIN;;;;;;58;58
59;;O;EIN;;;;;;59;59
60;;O;EIN;;;;;;60;60
61;;O;EIN;;;;;;61;61
62;;O;EIN;;;;;;62;62
63;;O;EIN;;;;;;63;63
64;;O;EIN;;;;;;64;64
65;;O;EIN;;;;;;65;65
66;;O;EIN;;;;;;66;66
67;;O;EIN;;;;;;67;67
68;;O;EIN;;;;;;68;68
69;;O;EIN;;;;;;69;69
70;;O;EIN;;;;;;70;70
71;;O;EIN;;;;;;71;71
72;;O;EIN;;;;;;72;72
73;;O;EIN;;;;;;73;73
74;;O;EIN;;;;;;74;74
75;;O;EIN;;;;;;75;75
76;;O;EIN;;;;;;76;76
25;;W;EIN;;;;;;25;25
26;;W;EIN;;;;;;26;26
27;;W;EIN;;;;;;27;27
28;;W;EIN;;;;;;28;28
29;;W;EIN;;;;;;29;29
30;;W;EIN;;;;;;30;30
31;;W;EIN;;;;;;31;31
32;;W;EIN;;;;;;32;32
33;;W;EIN;;;;;;33;33
34;;W;EIN;;;;;;34;34
35;;W;EIN;;;;;;35;35
36;;W;EIN;;;;;;36;36
37;;W;EIN;;;;;;37;37
38;;W;EIN;;;;;;38;38
39;;W;EIN;;;;;;39;39
40;;W;EIN;;;;;;40;40
41;;W;EIN;;;;;;41;41
42;;W;EIN;;;;;;42;42
43;;W;EIN;;;;;;43;43
44;;W;EIN;;;;;;44;44
45;;W;EIN;;;;;;45;45
