Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;FJS;2026-03-16;1;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;;O;EIN;;;;;;25;25
26;;O;EIN;;;;;;26;26
27;;O;EIN;;;;;;27;27
28;;O;EIN;;;;;;28;28
29;;O;EIN;;;;;;29;29
30;;O;EIN;;;;;;30;30
31;;O;EIN;;;;;;31;31
32;;O;EIN;;;;;;32;32
33;;O;EIN;;;;;;33;33
34;;O;EIN;;;;;;34;34
35;;O;EIN;;;;;;35;35
36;;O;EIN;;;;;;36;36
37;;O;EIN;;;;;;37;37
38;;O;EIN;;;;;;38;38
39;;O;EIN;;;;;;39;39
40;;O;EIN;;;;;;40;40
61;;O;EIN;;;;;;61;61
62;;O;EIN;;;;;;62;62
63;;O;EIN;;;;;;63;63
64;;O;EIN;;;;;;64;64
65;;O;EIN;;;;;;65;65
66;;O;EIN;;;;;;66;66
67;;O;EIN;;;;;;67;67
68;;O;EIN;;;;;;68;68
69;;O;EIN;;;;;;69;69
70;;O;EIN;;;;;;70;70
71;;O;EIN;;;;;;71;71
72;;O;EIN;;;;;;72;72
73;;O;EIN;;;;;;73;73
74;;O;EIN;;;;;;74;74
75;;O;EIN;;;;;;75;75
76;;O;EIN;;;;;;76;76
25;;W;EIN;;;;;;25;25
26;;W;EIN;;;;;;26;26
27;;W;EIN;;;;;;27;27
28;;W;EIN;;;;;;28;28
29;;W;EIN;;;;;;29;29
30;;W;EIN;;;;;;30;30
31;;W;EIN;;;;;;31;31
32;;W;EIN;;;;;;32;32
33;;W;EIN;;;;;;33;33
34;;W;EIN;;;;;;34;34
35;;W;EIN;;;;;;35;35
36;;W;EIN;;;;;;36;36
37;;W;EIN;;;;;;37;37
38;;W;EIN;;;;;;38;38
39;;W;EIN;;;;;;39;39
40;;W;EIN;;;;;;40;40
61;;W;EIN;;;;;;61;61
62;;W;EIN;;;;;;62;62
63;;W;EIN;;;;;;63;63
64;;W;EIN;;;;;;64;64
65;;W;EIN;;;;;;65;65
66;;W;EIN;;;;;;66;66
67;;W;EIN;;;;;;67;67
68;;W;EIN;;;;;;68;68
69;;W;EIN;;;;;;69;69
70;;W;EIN;;;;;;70;70
71;;W;EIN;;;;;;71;71
72;;W;EIN;;;;;;72;72
73;;W;EIN;;;;;;73;73
74;;W;EIN;;;;;;74;74
75;;W;EIN;;;;;;75;75
76;;W;EIN;;;;;;76;76
25;;O;AUS;;;;;;25;25
26;;O;AUS;;;;;;26;26
27;;O;AUS;;;;;;27;27
28;;O;AUS;;;;;;28;28
29;;O;AUS;;;;;;29;29
30;;O;AUS;;;;;;30;30
31;;O;AUS;;;;;;31;31
32;;O;AUS;;;;;;32;32
33;;O;AUS;;;;;;33;33
34;;O;AUS;;;;;;34;34
35;;O;AUS;;;;;;35;35
36;;O;AUS;;;;;;36;36
37;;O;AUS;;;;;;37;37
38;;O;AUS;;;;;;38;38
39;;O;AUS;;;;;;39;39
40;;O;AUS;;;;;;40;40
61;;O;AUS;;;;;;61;61
62;;O;AUS;;;;;;62;62
63;;O;AUS;;;;;;63;63
64;;O;AUS;;;;;;64;64
65;;O;AUS;;;;;;65;65
66;;O;AUS;;;;;;66;66
67;;O;AUS;;;;;;67;67
68;;O;AUS;;;;;;68;68
69;;O;AUS;;;;;;69;69
70;;O;AUS;;;;;;70;70
71;;O;AUS;;;;;;71;71
72;;O;AUS;;;;;;72;72
73;;O;AUS;;;;;;73;73
74;;O;AUS;;;;;;74;74
75;;O;AUS;;;;;;75;75
76;;O;AUS;;;;;;76;76
25;;W;AUS;;;;;;25;25
26;;W;AUS;;;;;;26;26
27;;W;AUS;;;;;;27;27
28;;W;AUS;;;;;;28;28
29;;W;AUS;;;;;;29;29
30;;W;AUS;;;;;;30;30
31;;W;AUS;;;;;;31;31
32;;W;AUS;;;;;;32;32
33;;W;AUS;;;;;;33;33
34;;W;AUS;;;;;;34;34
35;;W;AUS;;;;;;35;35
36;;W;AUS;;;;;;36;36
37;;W;AUS;;;;;;37;37
38;;W;AUS;;;;;;38;38
39;;W;AUS;;;;;;39;39
40;;W;AUS;;;;;;40;40
61;;W;AUS;;;;;;61;61
62;;W;AUS;;;;;;62;62
63;;W;AUS;;;;;;63;63
64;;W;AUS;;;;;;64;64
65;;W;AUS;;;;;;65;65
66;;W;AUS;;;;;;66;66
67;;W;AUS;;;;;;67;67
68;;W;AUS;;;;;;68;68
69;;W;AUS;;;;;;69;69
70;;W;AUS;;;;;;70;70
71;;W;AUS;;;;;;71;71
72;;W;AUS;;;;;;72;72
73;;W;AUS;;;;;;73;73
74;;W;AUS;;;;;;74;74
75;;W;AUS;;;;;;75;75
76;;W;AUS;;;;;;76;76
