Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
27407;QJS;2026-02-25;4;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;2;N;;;;;;;1;1
2;2;N;;;;;;;2;2
3;2;N;;;;;;;3;3
4;2;N;;;;;;;4;4
5;2;N;;;;;;;5;5
6;2;N;;;;;;;6;6
7;2;N;;;;;;;7;7
8;2;N;;;;;;;8;8
9;2;N;;;;;;;9;9
10;2;N;;;;;;;10;10
11;2;N;;;;;;;11;11
12;2;N;;;;;;;12;12
13;2;N;;;;;;;13;13
14;2;N;;;;;;;14;14
15;2;N;;;;;;;15;15
16;2;N;;;;;;;16;16
17;2;N;;;;;;;17;17
18;2;N;;;;;;;18;18
19;2;N;;;;;;;19;19
20;2;N;;;;;;;20;20
21;2;N;;;;;;;21;21
22;2;N;;;;;;;22;22
23;2;N;;;;;;;23;23
24;2;N;;;;;;;24;24
25;2;N;;;;;;;25;25
26;2;N;;;;;;;26;26
27;2;N;;;;;;;27;27
28;2;N;;;;;;;28;28
29;2;N;;;;;;;29;29
30;2;N;;;;;;;30;30
31;2;N;;;;;;;31;31
32;2;N;;;;;;;32;32
33;2;N;;;;;;;33;33
34;2;N;;;;;;;34;34
35;2;N;;;;;;;35;35
36;2;N;;;;;;;36;36
37;2;N;;;;;;;37;37
38;2;N;;;;;;;38;38
39;2;N;;;;;;;39;39
40;2;N;;;;;;;40;40
41;2;N;;;;;;;41;41
42;2;N;;;;;;;42;42
43;2;N;;;;;;;43;43
44;2;N;;;;;;;44;44
45;2;N;;;;;;;45;45
46;2;N;;;;;;;46;46
47;2;N;;;;;;;47;47
48;2;N;;;;;;;48;48
49;2;N;;;;;;;49;49
50;2;N;;;;;;;50;50
51;2;N;;;;;;;51;51
52;2;N;;;;;;;52;52
53;2;N;;;;;;;53;53
54;2;N;;;;;;;54;54
55;2;N;;;;;;;55;55
56;2;N;;;;;;;56;56
57;2;N;;;;;;;57;57
58;2;N;;;;;;;58;58
59;2;N;;;;;;;59;59
60;2;N;;;;;;;60;60
61;2;N;;;;;;;61;61
62;2;N;;;;;;;62;62
63;2;N;;;;;;;63;63
64;2;N;;;;;;;64;64
65;2;N;;;;;;;65;65
66;2;N;;;;;;;66;66
67;2;N;;;;;;;67;67
68;2;N;;;;;;;68;68
69;2;N;;;;;;;69;69
70;2;N;;;;;;;70;70
71;2;N;;;;;;;71;71
72;2;N;;;;;;;72;72
73;2;N;;;;;;;73;73
74;2;N;;;;;;;74;74
75;2;N;;;;;;;75;75
76;2;N;;;;;;;76;76
77;2;N;;;;;;;77;77
78;2;N;;;;;;;78;78
79;2;N;;;;;;;79;79
80;2;N;;;;;;;80;80
81;2;N;;;;;;;81;81
82;2;N;;;;;;;82;82
83;2;N;;;;;;;83;83
84;2;N;;;;;;;84;84
85;2;N;;;;;;;85;85
86;2;N;;;;;;;86;86
87;2;N;;;;;;;87;87
88;2;N;;;;;;;88;88
89;2;N;;;;;;;89;89
90;2;N;;;;;;;90;90
91;2;N;;;;;;;91;91
92;2;N;;;;;;;92;92
93;2;N;;;;;;;93;93
94;2;N;;;;;;;94;94
95;2;N;;;;;;;95;95
96;2;N;;;;;;;96;96
1;2;S;;;;;;;1;1
2;2;S;;;;;;;2;2
3;2;S;;;;;;;3;3
4;2;S;;;;;;;4;4
5;2;S;;;;;;;5;5
6;2;S;;;;;;;6;6
7;2;S;;;;;;;7;7
8;2;S;;;;;;;8;8
9;2;S;;;;;;;9;9
10;2;S;;;;;;;10;10
11;2;S;;;;;;;11;11
12;2;S;;;;;;;12;12
13;2;S;;;;;;;13;13
14;2;S;;;;;;;14;14
15;2;S;;;;;;;15;15
16;2;S;;;;;;;16;16
17;2;S;;;;;;;17;17
18;2;S;;;;;;;18;18
19;2;S;;;;;;;19;19
20;2;S;;;;;;;20;20
21;2;S;;;;;;;21;21
22;2;S;;;;;;;22;22
23;2;S;;;;;;;23;23
24;2;S;;;;;;;24;24
25;2;S;;;;;;;25;25
26;2;S;;;;;;;26;26
27;2;S;;;;;;;27;27
28;2;S;;;;;;;28;28
29;2;S;;;;;;;29;29
30;2;S;;;;;;;30;30
31;2;S;;;;;;;31;31
32;2;S;;;;;;;32;32
33;2;S;;;;;;;33;33
34;2;S;;;;;;;34;34
35;2;S;;;;;;;35;35
36;2;S;;;;;;;36;36
37;2;S;;;;;;;37;37
38;2;S;;;;;;;38;38
39;2;S;;;;;;;39;39
40;2;S;;;;;;;40;40
41;2;S;;;;;;;41;41
42;2;S;;;;;;;42;42
43;2;S;;;;;;;43;43
44;2;S;;;;;;;44;44
45;2;S;;;;;;;45;45
46;2;S;;;;;;;46;46
47;2;S;;;;;;;47;47
48;2;S;;;;;;;48;48
49;2;S;;;;;;;49;49
50;2;S;;;;;;;50;50
51;2;S;;;;;;;51;51
52;2;S;;;;;;;52;52
53;2;S;;;;;;;53;53
54;2;S;;;;;;;54;54
55;2;S;;;;;;;55;55
56;2;S;;;;;;;56;56
57;2;S;;;;;;;57;57
58;2;S;;;;;;;58;58
59;2;S;;;;;;;59;59
60;2;S;;;;;;;60;60
61;2;S;;;;;;;61;61
62;2;S;;;;;;;62;62
63;2;S;;;;;;;63;63
64;2;S;;;;;;;64;64
65;2;S;;;;;;;65;65
66;2;S;;;;;;;66;66
67;2;S;;;;;;;67;67
68;2;S;;;;;;;68;68
69;2;S;;;;;;;69;69
70;2;S;;;;;;;70;70
71;2;S;;;;;;;71;71
72;2;S;;;;;;;72;72
73;2;S;;;;;;;73;73
74;2;S;;;;;;;74;74
75;2;S;;;;;;;75;75
76;2;S;;;;;;;76;76
77;2;S;;;;;;;77;77
78;2;S;;;;;;;78;78
79;2;S;;;;;;;79;79
80;2;S;;;;;;;80;80
81;2;S;;;;;;;81;81
82;2;S;;;;;;;82;82
83;2;S;;;;;;;83;83
84;2;S;;;;;;;84;84
85;2;S;;;;;;;85;85
86;2;S;;;;;;;86;86
87;2;S;;;;;;;87;87
88;2;S;;;;;;;88;88
89;2;S;;;;;;;89;89
90;2;S;;;;;;;90;90
91;2;S;;;;;;;91;91
92;2;S;;;;;;;92;92
93;2;S;;;;;;;93;93
94;2;S;;;;;;;94;94
95;2;S;;;;;;;95;95
96;2;S;;;;;;;96;96
