Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;QJS;2026-03-13;2;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;4;N;;;;;;;1;1
2;4;N;;;;;;;2;2
3;4;N;;;;;;;3;3
4;4;N;;;;;;;4;4
5;4;N;;;;;;;5;5
6;4;N;;;;;;;6;6
7;4;N;;;;;;;7;7
8;4;N;;;;;;;8;8
9;4;N;;;;;;;9;9
10;4;N;;;;;;;10;10
11;4;N;;;;;;;11;11
12;4;N;;;;;;;12;12
13;4;N;;;;;;;13;13
14;4;N;;;;;;;14;14
15;4;N;;;;;;;15;15
16;4;N;;;;;;;16;16
17;4;N;;;;;;;17;17
18;4;N;;;;;;;18;18
19;4;N;;;;;;;19;19
20;4;N;;;;;;;20;20
21;4;N;;;;;;;21;21
22;4;N;;;;;;;22;22
23;4;N;;;;;;;23;23
24;4;N;;;;;;;24;24
25;4;N;;;;;;;25;25
26;4;N;;;;;;;26;26
27;4;N;;;;;;;27;27
28;4;N;;;;;;;28;28
29;4;N;;;;;;;29;29
30;4;N;;;;;;;30;30
31;4;N;;;;;;;31;31
32;4;N;;;;;;;32;32
33;4;N;;;;;;;33;33
34;4;N;;;;;;;34;34
35;4;N;;;;;;;35;35
36;4;N;;;;;;;36;36
37;4;N;;;;;;;37;37
38;4;N;;;;;;;38;38
39;4;N;;;;;;;39;39
40;4;N;;;;;;;40;40
41;4;N;;;;;;;41;41
42;4;N;;;;;;;42;42
43;4;N;;;;;;;43;43
44;4;N;;;;;;;44;44
45;4;N;;;;;;;45;45
46;4;N;;;;;;;46;46
47;4;N;;;;;;;47;47
48;4;N;;;;;;;48;48
49;4;N;;;;;;;49;49
50;4;N;;;;;;;50;50
51;4;N;;;;;;;51;51
52;4;N;;;;;;;52;52
53;4;N;;;;;;;53;53
54;4;N;;;;;;;54;54
55;4;N;;;;;;;55;55
56;4;N;;;;;;;56;56
57;4;N;;;;;;;57;57
58;4;N;;;;;;;58;58
59;4;N;;;;;;;59;59
60;4;N;;;;;;;60;60
61;4;N;;;;;;;61;61
62;4;N;;;;;;;62;62
63;4;N;;;;;;;63;63
64;4;N;;;;;;;64;64
65;4;N;;;;;;;65;65
66;4;N;;;;;;;66;66
67;4;N;;;;;;;67;67
68;4;N;;;;;;;68;68
69;4;N;;;;;;;69;69
70;4;N;;;;;;;70;70
71;4;N;;;;;;;71;71
72;4;N;;;;;;;72;72
