Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
193301;QU;2026-02-25;2;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
1;;;S;;;;;;1;1
2;;;S;;;;;;2;2
3;;;S;;;;;;3;3
4;;;S;;;;;;4;4
5;;;S;;;;;;5;5
6;;;S;;;;;;6;6
7;;;S;;;;;;7;7
8;;;S;;;;;;8;8
9;;;S;;;;;;9;9
10;;;S;;;;;;10;10
11;;;S;;;;;;11;11
12;;;S;;;;;;12;12
13;;;S;;;;;;13;13
14;;;S;;;;;;14;14
15;;;S;;;;;;15;15
16;;;S;;;;;;16;16
17;;;S;;;;;;17;17
18;;;S;;;;;;18;18
19;;;S;;;;;;19;19
20;;;S;;;;;;20;20
21;;;S;;;;;;21;21
22;;;S;;;;;;22;22
23;;;S;;;;;;23;23
24;;;S;;;;;;24;24
25;;;S;;;;;;25;25
26;;;S;;;;;;26;26
27;;;S;;;;;;27;27
28;;;S;;;;;;28;28
29;;;S;;;;;;29;29
30;;;S;;;;;;30;30
31;;;S;;;;;;31;31
32;;;S;;;;;;32;32
33;;;S;;;;;;33;33
34;;;S;;;;;;34;34
35;;;S;;;;;;35;35
36;;;S;;;;;;36;36
37;;;S;;;;;;37;37
38;;;S;;;;;;38;38
39;;;S;;;;;;39;39
40;;;S;;;;;;40;40
41;;;S;;;;;;41;41
42;;;S;;;;;;42;42
43;;;S;;;;;;43;43
44;;;S;;;;;;44;44
45;;;S;;;;;;45;45
46;;;S;;;;;;46;46
47;;;S;;;;;;47;47
48;;;S;;;;;;48;48
49;;;S;;;;;;49;49
50;;;S;;;;;;50;50
51;;;S;;;;;;51;51
52;;;S;;;;;;52;52
53;;;S;;;;;;53;53
54;;;S;;;;;;54;54
55;;;S;;;;;;55;55
56;;;S;;;;;;56;56
57;;;S;;;;;;57;57
58;;;S;;;;;;58;58
59;;;S;;;;;;59;59
60;;;S;;;;;;60;60
61;;;S;;;;;;61;61
62;;;S;;;;;;62;62
63;;;S;;;;;;63;63
64;;;S;;;;;;64;64
65;;;S;;;;;;65;65
66;;;S;;;;;;66;66
67;;;S;;;;;;67;67
68;;;S;;;;;;68;68
69;;;S;;;;;;69;69
70;;;S;;;;;;70;70
71;;;S;;;;;;71;71
72;;;S;;;;;;72;72
73;;;S;;;;;;73;73
74;;;S;;;;;;74;74
75;;;S;;;;;;75;75
76;;;S;;;;;;76;76
77;;;S;;;;;;77;77
78;;;S;;;;;;78;78
79;;;S;;;;;;79;79
80;;;S;;;;;;80;80
81;;;S;;;;;;81;81
82;;;S;;;;;;82;82
83;;;S;;;;;;83;83
84;;;S;;;;;;84;84
85;;;S;;;;;;85;85
86;;;S;;;;;;86;86
87;;;S;;;;;;87;87
88;;;S;;;;;;88;88
89;;;S;;;;;;89;89
90;;;S;;;;;;90;90
91;;;S;;;;;;91;91
92;;;S;;;;;;92;92
93;;;S;;;;;;93;93
94;;;S;;;;;;94;94
95;;;S;;;;;;95;95
96;;;S;;;;;;96;96
1;;;N;;;;;;1;1
2;;;N;;;;;;2;2
3;;;N;;;;;;3;3
4;;;N;;;;;;4;4
5;;;N;;;;;;5;5
6;;;N;;;;;;6;6
7;;;N;;;;;;7;7
8;;;N;;;;;;8;8
9;;;N;;;;;;9;9
10;;;N;;;;;;10;10
11;;;N;;;;;;11;11
12;;;N;;;;;;12;12
13;;;N;;;;;;13;13
14;;;N;;;;;;14;14
15;;;N;;;;;;15;15
16;;;N;;;;;;16;16
17;;;N;;;;;;17;17
18;;;N;;;;;;18;18
19;;;N;;;;;;19;19
20;;;N;;;;;;20;20
21;;;N;;;;;;21;21
22;;;N;;;;;;22;22
23;;;N;;;;;;23;23
24;;;N;;;;;;24;24
25;;;N;;;;;;25;25
26;;;N;;;;;;26;26
27;;;N;;;;;;27;27
28;;;N;;;;;;28;28
29;;;N;;;;;;29;29
30;;;N;;;;;;30;30
31;;;N;;;;;;31;31
32;;;N;;;;;;32;32
33;;;N;;;;;;33;33
34;;;N;;;;;;34;34
35;;;N;;;;;;35;35
36;;;N;;;;;;36;36
37;;;N;;;;;;37;37
38;;;N;;;;;;38;38
39;;;N;;;;;;39;39
40;;;N;;;;;;40;40
41;;;N;;;;;;41;41
42;;;N;;;;;;42;42
43;;;N;;;;;;43;43
44;;;N;;;;;;44;44
45;;;N;;;;;;45;45
46;;;N;;;;;;46;46
47;;;N;;;;;;47;47
48;;;N;;;;;;48;48
49;;;N;;;;;;49;49
50;;;N;;;;;;50;50
51;;;N;;;;;;51;51
52;;;N;;;;;;52;52
53;;;N;;;;;;53;53
54;;;N;;;;;;54;54
55;;;N;;;;;;55;55
56;;;N;;;;;;56;56
57;;;N;;;;;;57;57
58;;;N;;;;;;58;58
59;;;N;;;;;;59;59
60;;;N;;;;;;60;60
61;;;N;;;;;;61;61
62;;;N;;;;;;62;62
63;;;N;;;;;;63;63
64;;;N;;;;;;64;64
65;;;N;;;;;;65;65
66;;;N;;;;;;66;66
67;;;N;;;;;;67;67
68;;;N;;;;;;68;68
69;;;N;;;;;;69;69
70;;;N;;;;;;70;70
71;;;N;;;;;;71;71
72;;;N;;;;;;72;72
73;;;N;;;;;;73;73
74;;;N;;;;;;74;74
75;;;N;;;;;;75;75
76;;;N;;;;;;76;76
77;;;N;;;;;;77;77
78;;;N;;;;;;78;78
79;;;N;;;;;;79;79
80;;;N;;;;;;80;80
81;;;N;;;;;;81;81
82;;;N;;;;;;82;82
83;;;N;;;;;;83;83
84;;;N;;;;;;84;84
85;;;N;;;;;;85;85
86;;;N;;;;;;86;86
87;;;N;;;;;;87;87
88;;;N;;;;;;88;88
89;;;N;;;;;;89;89
90;;;N;;;;;;90;90
91;;;N;;;;;;91;91
92;;;N;;;;;;92;92
93;;;N;;;;;;93;93
94;;;N;;;;;;94;94
95;;;N;;;;;;95;95
96;;;N;;;;;;96;96
