Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;QU;2026-03-16;2;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;;;S;;;;;;25;25
26;;;S;;;;;;26;26
27;;;S;;;;;;27;27
28;;;S;;;;;;28;28
29;;;S;;;;;;29;29
30;;;S;;;;;;30;30
31;;;S;;;;;;31;31
32;;;S;;;;;;32;32
33;;;S;;;;;;33;33
34;;;S;;;;;;34;34
35;;;S;;;;;;35;35
36;;;S;;;;;;36;36
37;;;S;;;;;;37;37
38;;;S;;;;;;38;38
39;;;S;;;;;;39;39
40;;;S;;;;;;40;40
61;;;S;;;;;;61;61
62;;;S;;;;;;62;62
63;;;S;;;;;;63;63
64;;;S;;;;;;64;64
65;;;S;;;;;;65;65
66;;;S;;;;;;66;66
67;;;S;;;;;;67;67
68;;;S;;;;;;68;68
69;;;S;;;;;;69;69
70;;;S;;;;;;70;70
71;;;S;;;;;;71;71
72;;;S;;;;;;72;72
73;;;S;;;;;;73;73
74;;;S;;;;;;74;74
75;;;S;;;;;;75;75
76;;;S;;;;;;76;76
25;;;N;;;;;;25;25
26;;;N;;;;;;26;26
27;;;N;;;;;;27;27
28;;;N;;;;;;28;28
29;;;N;;;;;;29;29
30;;;N;;;;;;30;30
31;;;N;;;;;;31;31
32;;;N;;;;;;32;32
33;;;N;;;;;;33;33
34;;;N;;;;;;34;34
35;;;N;;;;;;35;35
36;;;N;;;;;;36;36
37;;;N;;;;;;37;37
38;;;N;;;;;;38;38
39;;;N;;;;;;39;39
40;;;N;;;;;;40;40
61;;;N;;;;;;61;61
62;;;N;;;;;;62;62
63;;;N;;;;;;63;63
64;;;N;;;;;;64;64
65;;;N;;;;;;65;65
66;;;N;;;;;;66;66
67;;;N;;;;;;67;67
68;;;N;;;;;;68;68
69;;;N;;;;;;69;69
70;;;N;;;;;;70;70
71;;;N;;;;;;71;71
72;;;N;;;;;;72;72
73;;;N;;;;;;73;73
74;;;N;;;;;;74;74
75;;;N;;;;;;75;75
76;;;N;;;;;;76;76
