Zählstellennummer;Zählart;Datum;Knotenarmnummer;;;;;;;
111310;;2026-03-16;1;;;;;;;
Intervallnummer;nach;Strassenseite;Richtung;Pkw;Lkw;Lz;Bus;Krad;Rad;Fuss
25;3;;;79;3;2;0;0;0;
26;3;;;91;5;1;0;1;0;
27;3;;;120;4;0;1;0;0;
28;3;;;114;3;1;0;0;0;
29;3;;;123;4;1;1;0;0;
30;3;;;128;3;0;0;2;0;
31;3;;;117;3;0;1;2;0;
32;3;;;123;3;1;2;1;0;
33;3;;;134;6;1;0;2;0;
34;3;;;121;3;2;0;4;0;
35;3;;;121;3;1;2;1;0;
36;3;;;116;2;1;0;1;1;
37;3;;;122;5;1;0;1;1;
38;3;;;122;5;0;1;0;1;
39;3;;;122;2;0;0;1;1;
40;3;;;135;3;0;0;0;0;
41;3;;;116;4;0;1;0;0;
42;3;;;139;3;0;0;2;0;
43;3;;;133;3;1;0;0;0;
44;3;;;121;10;1;1;0;0;
45;3;;;128;9;1;0;0;0;
46;3;;;120;4;1;0;1;1;
47;3;;;128;6;1;1;0;0;
48;3;;;127;4;2;1;0;0;
49;3;;;108;6;0;0;2;1;
50;3;;;122;3;0;0;0;0;
51;3;;;128;2;0;1;1;1;
52;3;;;111;2;0;1;0;1;
53;3;;;116;6;0;0;0;0;
54;3;;;99;5;1;0;1;0;
55;3;;;117;3;0;1;0;0;
56;3;;;121;5;0;1;0;1;
57;3;;;110;4;1;0;2;0;
58;3;;;126;5;0;0;0;0;
59;3;;;117;1;2;0;1;1;
60;3;;;100;4;1;0;0;0;
61;3;;;112;4;0;1;1;0;
62;3;;;111;3;0;0;1;0;
63;3;;;99;5;0;0;0;1;
64;3;;;111;4;0;0;0;0;
65;3;;;131;3;0;1;1;1;
66;3;;;120;2;0;0;3;0;
67;3;;;120;0;1;1;0;0;
68;3;;;109;5;1;0;0;0;
69;3;;;132;1;0;0;2;2;
70;3;;;120;1;0;0;1;0;
71;3;;;110;0;0;0;0;1;
72;3;;;115;0;0;1;1;0;
73;3;;;118;0;0;0;0;0;
74;3;;;128;1;0;0;0;0;
75;3;;;105;0;0;1;0;0;
76;3;;;140;1;0;0;0;0;
25;4;;;13;0;0;0;0;0;
26;4;;;18;0;0;0;0;0;
27;4;;;30;1;0;0;0;0;
28;4;;;33;1;0;0;1;0;
29;4;;;27;1;1;0;0;0;
30;4;;;34;1;0;0;0;1;
31;4;;;38;0;0;0;1;0;
32;4;;;28;1;0;0;0;0;
33;4;;;38;0;0;0;0;1;
34;4;;;32;1;0;0;0;0;
35;4;;;46;2;0;0;1;0;
36;4;;;35;2;0;0;0;0;
37;4;;;48;0;0;0;1;3;
38;4;;;40;3;0;0;0;1;
39;4;;;36;2;0;0;0;0;
40;4;;;28;3;0;0;0;0;
41;4;;;38;2;0;0;0;0;
42;4;;;31;2;0;0;0;0;
43;4;;;30;0;0;0;0;0;
44;4;;;34;1;0;0;1;0;
45;4;;;30;3;0;0;0;0;
46;4;;;45;1;1;0;0;1;
47;4;;;26;1;0;0;0;0;
48;4;;;33;1;0;0;0;0;
49;4;;;28;3;0;0;0;0;
50;4;;;44;0;0;0;0;0;
51;4;;;48;0;0;0;0;0;
52;4;;;33;1;0;0;2;0;
53;4;;;34;1;0;0;0;0;
54;4;;;34;1;0;0;1;1;
55;4;;;32;1;0;0;0;0;
56;4;;;29;0;0;0;0;0;
57;4;;;43;2;0;0;0;0;
58;4;;;33;1;0;0;2;0;
59;4;;;40;0;0;0;0;0;
60;4;;;39;2;1;0;1;0;
61;4;;;37;0;1;0;0;1;
62;4;;;31;0;0;0;0;0;
63;4;;;21;0;1;0;0;1;
64;4;;;27;0;0;0;0;0;
65;4;;;42;0;0;0;1;0;
66;4;;;34;0;0;0;0;0;
67;4;;;42;1;0;1;1;0;
68;4;;;33;0;0;0;0;0;
69;4;;;41;0;0;0;0;0;
70;4;;;33;0;0;0;0;0;
71;4;;;47;0;0;0;0;0;
72;4;;;41;0;0;0;0;0;
73;4;;;47;0;0;0;0;1;
74;4;;;44;1;0;1;0;1;
75;4;;;30;0;0;0;0;0;
76;4;;;27;0;0;0;1;1;
